RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	204245	14093432	-34	20	34:00:00S	20:00:00E	34HDH0765037393	SI34-06	A	ADM1		SF	11				N				WESTERNCAPE	Western Cape	Western Cape	WESTERNCAPE	Western Cape	Western Cape		2004-04-23	1,2,3,4,5,6,7,8,9	1			2013-01-24		
3	204245	255348	-34	20	34:00:00S	20:00:00E	34HDH0765037393	SI34-06	A	ADM1		SF	11				N		Western Cape		PROVINCEOFTHEWESTERNCAPE	Province of the Western Cape	Province of the Western Cape	WESTERNCAPE PROVINCEOFTHE	Western Cape, Province of the	Western Cape, Province of the		2004-04-23	1,2,3,4,5,6,7,8,9	2			2014-01-28		
3	204232	255324	-24	29.5	24:00:00S	29:30:00E	35KQP5433243516	SF35-16	A	ADM1		SF	09				V				PROVINCEOFNORTHERNTRANSVAAL	Province of Northern Transvaal	Province of Northern Transvaal	NORTHERNTRANSVAAL PROVINCEOF	Northern Transvaal, Province of	Northern Transvaal, Province of		2004-05-11	1,2,3,4,5,6,7,8,9				2002-02-06		
3	204232	14638462	-24	29.5	24:00:00S	29:30:00E	35KQP5433243516	SF35-16	A	ADM1		SF	09				N				LIMPOPO	Limpopo	Limpopo	LIMPOPO	Limpopo	Limpopo		2004-05-11	1,2,3,4,5,6,7,8,9	1			2014-01-28		
3	204226	279836	-26.083333	28.25	26:05:00S	28:15:00E	35JPM2501514488	SG35-11	A	ADM1		SF	06				V				PWV	PWV	PWV	PWV	PWV	PWV		2004-05-11	1,2,3,4,5,6,7,8,9				2002-02-06		
3	204226	255309	-26.083333	28.25	26:05:00S	28:15:00E	35JPM2501514488	SG35-11	A	ADM1		SF	06				V				PROVINCEOFPRETORIAWITWATERSRANDVEREENIGING	Province of Pretoria-Witwatersrand-Vereeniging	Province of Pretoria-Witwatersrand-Vereeniging	PRETORIAWITWATERSRANDVEREENIGING PROVINCEOF	Pretoria-Witwatersrand-Vereeniging, Province of	Pretoria-Witwatersrand-Vereeniging, Province of		2004-05-11	1,2,3,4,5,6,7,8,9				2002-02-06		
3	204226	255308	-26.083333	28.25	26:05:00S	28:15:00E	35JPM2501514488	SG35-11	A	ADM1		SF	06				N				GAUTENG	Gauteng	Gauteng	GAUTENG	Gauteng	Gauteng		2004-05-11	1,2,3,4,5,6,7,8,9	1			2014-01-28		
3	204230	255318	-26	30	26:00:00S	30:00:00E	36JSS9968220867	SG36-05	A	ADM1		SF	07				V				PROVINCEOFEASTERNTRANSVAAL	Province of Eastern Transvaal	Province of Eastern Transvaal	EASTERNTRANSVAAL PROVINCEOF	Eastern Transvaal, Province of	Eastern Transvaal, Province of		2004-05-11	1,2,3,4,5,6,7,8,9				2002-02-06		
3	204230	256909	-26	30	26:00:00S	30:00:00E	36JSS9968220867	SG36-05	A	ADM1		SF	07				N				MPUMALANGA	Mpumalanga	Mpumalanga	MPUMALANGA	Mpumalanga	Mpumalanga		2004-05-11	1,2,3,4,5,6,7,8,9	1			2014-01-28		
3	204039	254991	-32	26	32:00:00S	26:00:00E	35JME0554359127	SH35-14	A	ADM1		SF	05				N		Eastern Cape		PROVINCEOFEASTERNCAPE	Province of Eastern Cape	Province of Eastern Cape	EASTERNCAPE PROVINCEOF	Eastern Cape, Province of	Eastern Cape, Province of		2004-04-27	1,2,3,4,5,6,7,8,9	2			2002-02-06		
3	204039	14638460	-32	26	32:00:00S	26:00:00E	35JME0554359127	SH35-14	A	ADM1		SF	05				N				EASTERNCAPE	Eastern Cape	Eastern Cape	EASTERNCAPE	Eastern Cape	Eastern Cape		2004-04-27	1,2,3,4,5,6,7,8,9	1			2014-01-28		
3	11834050	14430511	-26.749746	26.572787	26:44:59S	26:34:22E	35JML5752041211	SG35-10	A	ADM2		SF	10				N				DOCTORKENNETHKAUNDA	Doctor Kenneth Kaunda	Doctor Kenneth Kaunda	DOCTORKENNETHKAUNDA	Doctor Kenneth Kaunda	Doctor Kenneth Kaunda		2013-09-20	1,2,3,4,5,6,7,8,9	1			2013-09-20		
3	11834050	14430509	-26.749746	26.572787	26:44:59S	26:34:22E	35JML5752041211	SG35-10	A	ADM2		SF	10				V				DRKENNETHKAUNDA	Dr Kenneth Kaunda	Dr Kenneth Kaunda	DRKENNETHKAUNDA	Dr Kenneth Kaunda	Dr Kenneth Kaunda		2013-09-20	1,2,3,4,5,6,7,8,9				2013-09-20		
