RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1284091	-2006410	-24.763462	25.851327	24:45:48S	25:51:05E	35JLN8386260756	SG35-02	H	RSV		BC,SF				BC,SF	N				SKUINSDAM	Skuinsdam	Skuinsdam	SKUINSDAM	Skuinsdam	Skuinsdam		2021-07-07	1,2,3,4,5	1			2021-07-07		
3	-1265820	-1842557	-23.746886	26.961881	23:44:49S	26:57:43E	35KMP9611573796	SF35-14	H	STMI		BC,SF				BC,SF	N				NGOTWANE	Ngotwane	Ngotwane	NGOTWANE	Ngotwane	Ngotwane		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1256740	-1831679	-23.0841	31.423767	23:05:03S	31:25:26E	36KUV3855146299	SF36-13	H	STMI		MZ,SF				MZ,SF	N				MANDZEMBA	Mandzemba	Mandzemba	MANDZEMBA	Mandzemba	Mandzemba		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1294379	-509282	-24.9	32.166667	24:54:00S	32:10:00E	36JVT1583945867	SG36-02	H	STMI		MZ,SF				MZ,SF	N				UMUANA	Umuana	Umuana	UMUANA	Umuana	Umuana		2021-07-09	1,2,3,4,5	1			2021-07-09		
3	-1259828	-1835426	-23.852905	31.748121	23:51:10S	31:44:53E	36KUU7251961496	SF36-14	H	STMI		MZ,SF				MZ,SF	N				MHALAMHALA	Mhalamhala	Mhalamhala	MHALAMHALA	Mhalamhala	Mhalamhala		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1292377	-508592	-23.228973	31.561694	23:13:44S	31:33:42E	36KUV5283930404	SF36-14	H	STMI		MZ,SF				MZ,SF	N				TSHIVANI	Tshivani	Tshivani	TSHIVANI	Tshivani	Tshivani		2021-07-07	1,2,3,4,5	1			2021-07-07		
3	-1237395	-1808406	-24.6	32.016667	24:36:00S	32:01:00E	36JVT0045078987	SG36-02	H	STMI		MZ,SF				MZ,SF	N				HLENGWENI	Hlengweni	Hlengweni	HLENGWENI	Hlengweni	Hlengweni		2021-07-09	1,2,3,4,5	1			2021-07-09		
3	-1249568	20009730	-26.866667	32.866667	26:52:00S	32:52:00E	36JVR8675628326	SG36-10	H	LK		MZ,SF				MZ,SF	N				KUZILONDE	Kuzilonde	Kuzilonde	KUZILONDE	Kuzilonde	Kuzilonde		2021-07-12	1,2,3,4,5	1			2021-07-12		
3	-1249268	-1822879	-23.300485	31.524711	23:18:02S	31:31:29E	36KUV4913522448	SF36-14	H	STMI		MZ,SF				MZ,SF	N				KUMBA	Kumba	Kumba	KUMBA	Kumba	Kumba		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1229168	-1798967	-23.196866	31.541311	23:11:49S	31:32:29E	36KUV5071833938	SF36-14	H	STMI		MZ,SF				MZ,SF	N				GADZINGWE	Gadzingwe	Gadzingwe	GADZINGWE	Gadzingwe	Gadzingwe		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1267624	-1844773	-23.625143	31.470281	23:37:31S	31:28:13E	36KUU4395186439	SF36-13	H	STMI		MZ,SF				MZ,SF	N				NSHAWU	Nshawu	Nshawu	NSHAWU	Nshawu	Nshawu		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1273277	-505063	-26.85	32.333333	26:51:00S	32:20:00E	36JVR3376830004	SG36-10	H	STM		MZ,SF				MZ,SF	N				PONGOLO	Pongolo	Pongolo	PONGOLO	Pongolo	Pongolo		2021-07-09	1,2,3,4,5	1			2021-07-12		
3	-314187	-4725736	-22.433333	31.35	22:26:00S	31:21:00E	36KUA3019118275	SF36-09	H	STMI		MZ,SF				MZ,SF	N				HAPI	Hapi	Hapi	HAPI	Hapi	Hapi		2021-07-09	1,2,3,4,5	1			2021-07-09		
3	-1268255	-1845539	-23.156897	31.497101	23:09:25S	31:29:50E	36KUV4614738318	SF36-13	H	STMI		MZ,SF				MZ,SF	N				NWAMAYIWANI	Nwamayiwani	Nwamayiwani	NWAMAYIWANI	Nwamayiwani	Nwamayiwani		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1256201	-1830981	-23.956115	31.881394	23:57:22S	31:52:53E	36KUU8618250181	SF36-14	H	STMI		MZ,SF				MZ,SF	N				MAKOFOR	Makofor	Makofor	MAKOFOR	Makofor	Makofor		2021-07-08	1,2,3,4,5	1			2021-07-08		
3	-1255347	-489313	-25.433333	32	25:26:00S	32:00:00E	36JUS9944486692	SG36-06	H	STM		MZ,SF				MZ,SF	N				MACINZABZA	Macinzabza	Macinzabza	MACINZABZA	Macinzabza	Macinzabza		2021-07-09	1,2,3,4,5	1			2021-07-12		
3	-1274667	-1853094	-25.766378	25.219657	25:45:59S	25:13:11E	35JLM2145848982	SG35-05	H	STMI		BC,SF				SF	N				RAMATLABAMA	Ramatlabama	Ramatlabama	RAMATLABAMA	Ramatlabama	Ramatlabama		2011-03-01	1,2,3,4,5	1			2011-03-01		
3	-1281104	-1860419	-29.718063	26.982808	29:43:05S	26:58:58E	35JMH9833712455	SH35-06	H	STM		LT,SF				SF	N			Spruit	SANDSPRUIT	Sandspruit	Sandspruit	SANDSPRUIT	Sandspruit	Sandspruit		2017-10-26	1,2,3,4,5	1			1993-09-01		
3	-1294602	-1876477	-26.179167	32.700556	26:10:45S	32:42:02E	36JVS7007804440	SG36-10	H	STM		MZ,SF,WZ				SF	N				USUTU	Usutu	Usutu	USUTU	Usutu	Usutu		2021-07-09	1,2,3,4,5,6,7,8,9				1993-09-01		
3	-1290368	-1871321	-26.133333	31.966667	26:08:00S	31:58:00E	36JUS9670009140	SG36-10	H	STM		SF,WZ				SF	N				THAMBOKULU	Thambokulu	Thambokulu	THAMBOKULU	Thambokulu	Thambokulu		2021-07-09	1,2,3,4,5	1			1993-09-01		
3	-1294340	-1876027	-26.533333	30.95	26:32:00S	30:57:00E	36JTR9575063618	SG36-09	H	STM		SF,WZ				SF	N				UMPULUZI	uMpuluzi	uMpuluzi	UMPULUZI	uMpuluzi	uMpuluzi		2021-07-09	1,2,3,4,5	1			1993-09-01		
3	-1294242	-1875807	-25.070278	32.401667	25:04:13S	32:24:06E	36JVT3965627137	SG36-06	H	STM		MZ,SF				SF	N				UMGWENYARIVIER	Umgwenyarivier	Umgwenyarivier	UMGWENYARIVIER	Umgwenyarivier	Umgwenyarivier		2021-07-09	1,2,3,4,5	1			1998-12-10		
