RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1264602	-1841078	-29	17	29:00:00S	17:00:00E	33JXH9482190365	SH33-04	L	RGN		SF,WA				SF,WA	N				NAMAQUALAND	Namaqualand	Namaqualand	NAMAQUALAND	Namaqualand	Namaqualand		2021-07-09	1,2,3,4,5	1			2021-07-09		
3	-1264602	-1841068	-29	17	29:00:00S	17:00:00E	33JXH9482190365	SH33-04	L	RGN		SF,WA					V				NAMALAND	Namaland	Namaland	NAMALAND	Namaland	Namaland		2021-07-09	1,2,3,4,5				1993-09-01		
3	-1264602	-1841067	-29	17	29:00:00S	17:00:00E	33JXH9482190365	SH33-04	L	RGN		SF,WA					V				NAMAKWALAND	Namakwaland	Namakwaland	NAMAKWALAND	Namakwaland	Namakwaland		2021-07-09	1,2,3,4,5				1993-09-01		
3	-1303387	-1886468	-31.383333	23.9	31:23:00S	23:54:00E	34JGL7579224277	SH34-16	L	LCTY		SF	08				N				WOLWERANT	Wolwerant	Wolwerant	WOLWERANT	Wolwerant	Wolwerant		2004-04-28	1,2,3,4,5	1			1993-09-01		
3	-1302907	-1853197	-26.25	28	26:15:00S	28:00:00E	35JNL9986896244	SG35-11	L	RGN		SF	06				V				THERAND	The Rand	The Rand	RAND THE	Rand, The	Rand, The		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1302907	-1802020	-26.25	28	26:15:00S	28:00:00E	35JNL9986896244	SG35-11	L	RGN		SF	06				V				THEGOLDREEF	The Gold Reef	The Gold Reef	GOLDREEF THE	Gold Reef, The	Gold Reef, The		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1302907	-1853241	-26.25	28	26:15:00S	28:00:00E	35JNL9986896244	SG35-11	L	RGN		SF	06				V				THERANDREGION	The Rand-region	The Rand-region	RANDREGION THE	Rand-region, The	Rand-region, The		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1302907	-1885871	-26.25	28	26:15:00S	28:00:00E	35JNL9986896244	SG35-11	L	RGN		SF	06				N				WITWATERSRAND	Witwatersrand	Witwatersrand	WITWATERSRAND	Witwatersrand	Witwatersrand		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1303704	-1886824	-30.8	28.766667	30:48:00S	28:46:00E	35JPF6902191228	SH35-12	L	LCTY		SF	05				N				WUBA	Wuba	Wuba	WUBA	Wuba	Wuba		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1302918	-1885889	-28.6	28.866667	28:36:00S	28:52:00E	35JPJ8252634906	SH35-04	L	RESN		SF	03				N				WITZIESHOEKNATURELLERESERWE	Witzieshoek Naturellereserwe	Witzieshoek Naturellereserwe	WITZIESHOEKNATURELLERESERWE	Witzieshoek Naturellereserwe	Witzieshoek Naturellereserwe		2004-04-29	1,2,3,4,5	1			1993-09-01		
3	-1302918	-1885888	-28.6	28.866667	28:36:00S	28:52:00E	35JPJ8252634906	SH35-04	L	RESN		SF	03				V				WITZIESHOEKNATURELLERESERVE	Witzieshoek-Naturellereserve	Witzieshoek-Naturellereserve	WITZIESHOEKNATURELLERESERVE	Witzieshoek-Naturellereserve	Witzieshoek-Naturellereserve		2004-04-29	1,2,3,4,5				1993-09-01		
3	-1305185	-1888652	-29.266667	18.85	29:16:00S	18:51:00E	34JBN9110460553	SH34-05	L	AREA		SF	08				D				ZUURWATER	Zuurwater	Zuurwater	ZUURWATER	Zuurwater	Zuurwater		2004-04-28	1,2,3,4,5	1			1993-09-01		
3	-1296128	-1878218	-26.283333	27.75	26:17:00S	27:45:00E	35JNL7487992721	SG35-11	L	AREA		SF	06				D				VENTERSPOSLOKASIE	Venterspos Lokasie	Venterspos Lokasie	VENTERSPOSLOKASIE	Venterspos Lokasie	Venterspos Lokasie		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1291165	-1872207	-30.333333	18.016667	30:20:00S	18:01:00E	34JBM1316740504	SH34-09	L	LCTY		SF	08				N				TIERHOEK	Tierhoek	Tierhoek	TIERHOEK	Tierhoek	Tierhoek		2004-04-28	1,2,3,4,5	1			1993-09-01		
3	-1303864	-1887010	-32.183333	28.133333	32:11:00S	28:08:00E	35HPE0683938680	SI35-03	L	AREA		SF	05				D				XILINXA	Xilinxa	Xilinxa	XILINXA	Xilinxa	Xilinxa		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1290130	-1871040	-31.5	28	31:30:00S	28:00:00E	35JNF9496714550	SH35-15	L	RGN		SF	05				D				TEMBULAND	Tembuland	Tembuland	TEMBULAND	Tembuland	Tembuland		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1290130	-1871036	-31.5	28	31:30:00S	28:00:00E	35JNF9496714550	SH35-15	L	RGN		SF	05				V				TEMBOELAND	Temboeland	Temboeland	TEMBOELAND	Temboeland	Temboeland		2004-04-27	1,2,3,4,5				1993-09-01		
