RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1303372	-1886450	-29.766667	26.533333	29:46:00S	26:32:00E	35JMH5488606978	SH35-06	P	PPL		SF	03				D				WOLWEPAN	Wolwepan	Wolwepan	WOLWEPAN	Wolwepan	Wolwepan		2004-04-29	1,2,3,4,5	1			1993-09-01		
3	-1303372	-1886229	-29.766667	26.533333	29:46:00S	26:32:00E	35JMH5488606978	SH35-06	P	PPL		SF	03				V				WOLVEPAN	Wolvepan	Wolvepan	WOLVEPAN	Wolvepan	Wolvepan		2004-04-29	1,2,3,4,5				1993-09-01		
3	-1303365	-1886443	-33.6	19.183333	33:36:00S	19:11:00E	34HCH3144180715	SI34-05	P	PPL		SF	11				D				WOLWENKLOOF	Wolwenkloof	Wolwenkloof	WOLWENKLOOF	Wolwenkloof	Wolwenkloof		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1302606	-1885502	-26.866667	25.233333	26:52:00S	25:14:00E	35JLL2449727109	SG35-09	P	PPL		SF	10				D				WITPAN	Witpan	Witpan	WITPAN	Witpan	Witpan		2004-04-30	1,2,3,4,5	1			1993-09-01		
3	-1303738	-1886868	-25.116667	28.933333	25:07:00S	28:56:00E	35JPN9493120737	SG35-08	P	PPL		SF	07				V				WYEDRIFT	Wyedrift	Wyedrift	WYEDRIFT	Wyedrift	Wyedrift		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1303738	-1886867	-25.116667	28.933333	25:07:00S	28:56:00E	35JPN9493120737	SG35-08	P	PPL		SF	07				N				WYEDRIF	Wyedrif	Wyedrif	WYEDRIF	Wyedrif	Wyedrif		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1304476	-1887741	-24.416667	29.383333	24:25:00S	29:23:00E	35JQN4167197563	SG35-04	P	PPLL		SF	09				N				ZEBEDIELASLOCATION	Zebedielas Location	Zebedielas Location	ZEBEDIELASLOCATION	Zebedielas Location	Zebedielas Location		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1304476	-1861629	-24.416667	29.383333	24:25:00S	29:23:00E	35JQN4167197563	SG35-04	P	PPLL		SF	09				V				SEBITIELALOKASIE	Sebitielalokasie	Sebitielalokasie	SEBITIELALOKASIE	Sebitielalokasie	Sebitielalokasie		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1298347	-1880709	-25.016667	29.65	25:01:00S	29:39:00E	35JQN6743630590	SG35-08	P	PPL		SF	09				N				VRISCHGEWAAGD	Vrischgewaagd	Vrischgewaagd	VRISCHGEWAAGD	Vrischgewaagd	Vrischgewaagd		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1295486	-1877462	-25.116667	29.083333	25:07:00S	29:05:00E	35JQN1005920512	SG35-08	P	PPL		SF	07				N				VALSFONTEIN	Valsfontein	Valsfontein	VALSFONTEIN	Valsfontein	Valsfontein		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1291169	-1872212	-30.916667	26.65	30:55:00S	26:39:00E	35JMF6655879581	SH35-10	P	PPL		SF	05				D				TIERHOEK	Tierhoek	Tierhoek	TIERHOEK	Tierhoek	Tierhoek		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1290700	-1871684	-29.966667	30.383333	29:58:00S	30:23:00E	36JTM4750082027	SH36-05	P	PPL		SF	02				D				THEREST	The Rest	The Rest	THEREST	The Rest	The Rest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1295560	-1877548	-32.816667	28.1	32:49:00S	28:06:00E	35HPD0297268501	SI35-03	P	PPL		SF	05				N				VANDERKEMP	Van Der Kemp	Van Der Kemp	VANDERKEMP	Van Der Kemp	Van Der Kemp		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1304921	-1888292	-33.883333	18.483333	33:53:00S	18:29:00E	34HBH6724547929	SI34-05	P	PPLX		SF	11				N				ZONNEKUS	Zonnekus	Zonnekus	ZONNEKUS	Zonnekus	Zonnekus		2004-04-23	1,2,3,4,5	1			1993-09-01		
