RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1288001	-1868556	-24.4	30.616667	24:24:00S	30:37:00E	36JTT5829899409	SG36-01	R	TNL		SF	09				D				STRYDOMTUNNEL	Strydom Tunnel	Strydom Tunnel	STRYDOMTUNNEL	Strydom Tunnel	Strydom Tunnel		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1292077	-1873297	-24.683333	31.9	24:41:00S	31:54:00E	36JUT8871269669	SG36-02	R	RD		SF	07				N				TRICHARDTPAD	Trichardtpad	Trichardtpad	TRICHARDTPAD	Trichardtpad	Trichardtpad		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1288283	-1868890	-32.633333	25.75	32:38:00S	25:45:00E	35HLD8274688671	SI35-02	R	TNL		SF	05				N				SUNDAYSFISHTUNNEL	Sundays-Fish Tunnel	Sundays-Fish Tunnel	SUNDAYSFISHTUNNEL	Sundays-Fish Tunnel	Sundays-Fish Tunnel		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1270546	-1848239	-26.716667	30.183333	26:43:00S	30:11:00E	36JTR1977941848	SG36-09	R	TNLRR		SF	07				N				OVERVAALTUNNEL	Overvaal Tunnel	Overvaal Tunnel	OVERVAALTUNNEL	Overvaal Tunnel	Overvaal Tunnel		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1270546	-1848238	-26.716667	30.183333	26:43:00S	30:11:00E	36JTR1977941848	SG36-09	R	TNLRR		SF	07				V				OVERVAALTONNEL	Overvaal Tonnel	Overvaal Tonnel	OVERVAALTONNEL	Overvaal Tonnel	Overvaal Tonnel		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1228086	-1797724	-25.033333	30.783333	25:02:00S	30:47:00E	36JTT7634129530	SG36-05	R	TRL		SF	07				N				FANIEBOTHAVOEISLAANPAD	Fanie Botha Voeislaanpad	Fanie Botha Voeislaanpad	FANIEBOTHAVOEISLAANPAD	Fanie Botha Voeislaanpad	Fanie Botha Voeislaanpad		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1228087	-1797725	-24.85	30.9	24:51:00S	30:54:00E	36JTT8780250027	SG36-01	R	TRL		SF	07				N				FANIEBOTHAVOETSLAANPAD	Fanie Botha Voetslaanpad	Fanie Botha Voetslaanpad	FANIEBOTHAVOETSLAANPAD	Fanie Botha Voetslaanpad	Fanie Botha Voetslaanpad		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1275735	-1854366	-28.726646	32.00969	28:43:36S	32:00:35E	36JVP0328921897	SH36-02	R	RYD		SF	02				N				RICHARDSBAYMARSHALLINGYARD	Richards Bay Marshalling Yard	Richards Bay Marshalling Yard	RICHARDSBAYMARSHALLINGYARD	Richards Bay Marshalling Yard	Richards Bay Marshalling Yard		2011-03-07	1,2,3,4,5	1			1993-09-01		
3	-1236689	-1807568	-22.915946	29.927501	22:54:57S	29:55:39E	35KRQ0029262796	SF35-12	R	TNL		SF	09				N				HENDRIKVERWOERDTONNELS	Hendrik Verwoerd Tonnels	Hendrik Verwoerd Tonnels	HENDRIKVERWOERDTONNELS	Hendrik Verwoerd Tonnels	Hendrik Verwoerd Tonnels		2011-03-11	1,2,3,4,5	1			1993-09-01		
3	-1236689	-1807569	-22.915946	29.927501	22:54:57S	29:55:39E	35KRQ0029262796	SF35-12	R	TNL		SF	09				V				HENDRIKVERWOERDTUNNELS	Hendrik Verwoerd Tunnels	Hendrik Verwoerd Tunnels	HENDRIKVERWOERDTUNNELS	Hendrik Verwoerd Tunnels	Hendrik Verwoerd Tunnels		2011-03-11	1,2,3,4,5				1993-09-01		
