RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1302911	-1885877	-25.116667	30.966667	25:07:00S	30:58:00E	36JTT9498320589	SG36-05	V	FRST		SF	07				N				WITWATERSTAATSBOS	Witwater Staatsbos	Witwater Staatsbos	WITWATERSTAATSBOS	Witwater Staatsbos	Witwater Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1303087	-1886073	-24.033333	30.083333	24:02:00S	30:05:00E	36JTU0333339006	SG36-01	V	FRST		SF	09				D				WOLKBERGFORESTRESERVE	Wolkberg Forest Reserve	Wolkberg Forest Reserve	WOLKBERGFORESTRESERVE	Wolkberg Forest Reserve	Wolkberg Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1293142	-1874501	-25.8	31.15	25:48:00S	31:09:00E	36JUS1452445161	SG36-05	V	FRST		SF	07				N				TWELLOFORESTRY	Twello Forestry	Twello Forestry	TWELLOFORESTRY	Twello Forestry	Twello Forestry		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1293844	-1837654	-25.3	30.583333	25:18:00S	30:35:00E	36JTS5668499639	SG36-05	V	FRST		SF	07				V				MOKOBULAANFORESTRESERVE	Mokobulaan Forest Reserve	Mokobulaan Forest Reserve	MOKOBULAANFORESTRESERVE	Mokobulaan Forest Reserve	Mokobulaan Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1293844	-1875299	-25.3	30.583333	25:18:00S	30:35:00E	36JTS5668499639	SG36-05	V	FRST		SF	07				N				UITSOEKSTAATSBOS	Uitsoek Staatsbos	Uitsoek Staatsbos	UITSOEKSTAATSBOS	Uitsoek Staatsbos	Uitsoek Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1286309	-1866672	-25.133333	30.833333	25:08:00S	30:50:00E	36JTT8156518534	SG36-05	V	FRST		SF	07				V				SPITZKOPFORESTRESERVE	Spitzkop Forest Reserve	Spitzkop Forest Reserve	SPITZKOPFORESTRESERVE	Spitzkop Forest Reserve	Spitzkop Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1286309	-1866549	-25.133333	30.833333	25:08:00S	30:50:00E	36JTT8156518534	SG36-05	V	FRST		SF	07				N				SPITSKOPSTAATSBOS	Spitskop Staatsbos	Spitskop Staatsbos	SPITSKOPSTAATSBOS	Spitskop Staatsbos	Spitskop Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1283300	-1863097	-31.95	27.616667	31:57:00S	27:37:00E	35JNE5828064940	SH35-15	V	FRST		SF	05				N				SIKOBENI	Sikobeni	Sikobeni	SIKOBENI	Sikobeni	Sikobeni		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1278099	-1857004	-23.016667	30.033333	23:01:00S	30:02:00E	36KSV9591451555	SF36-13	V	FRST		SF	09				N				ROODEWALBOSRESERVAAT	Roodewal-Bosreservaat	Roodewal-Bosreservaat	ROODEWALBOSRESERVAAT	Roodewal-Bosreservaat	Roodewal-Bosreservaat		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1284909	-1864987	-27.633333	32.566667	27:38:00S	32:34:00E	36JVQ5725043339	SG36-14	V	FRST		SF	02				N				SODWANABAYSTATEFOREST	Sodwana Bay State Forest	Sodwana Bay State Forest	SODWANABAYSTATEFOREST	Sodwana Bay State Forest	Sodwana Bay State Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1292471	-1873760	-31.866667	27.666667	31:52:00S	27:40:00E	35JNE6306274149	SH35-15	V	FRST		SF	05				N				TSOJANAPLANTATION	Tsojana Plantation	Tsojana Plantation	TSOJANAPLANTATION	Tsojana Plantation	Tsojana Plantation		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1291367	-1872430	-23	30.2	23:00:00S	30:12:00E	36KTV1297253738	SF36-09	V	FRST		SF	09				N				TIMBADOLAFORESTRESERVE	Timbadola Forest Reserve	Timbadola Forest Reserve	TIMBADOLAFORESTRESERVE	Timbadola Forest Reserve	Timbadola Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1281670	-1861088	-25.65	31.483333	25:39:00S	31:29:00E	36JUS4775762203	SG36-05	V	FRST		SF	07				N				SCHOEMANSDALPLANTASIE	Schoemansdalplantasie	Schoemansdalplantasie	SCHOEMANSDALPLANTASIE	Schoemansdalplantasie	Schoemansdalplantasie		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1267774	-1844953	-30.916667	28.666667	30:55:00S	28:40:00E	35JPF5925978443	SH35-12	V	FRST		SF	05				N				NTABODULIFOREST	Ntaboduli Forest	Ntaboduli Forest	NTABODULIFOREST	Ntaboduli Forest	Ntaboduli Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1288748	-1888763	-25.216667	30.966667	25:13:00S	30:58:00E	36JTT9515109512	SG36-05	V	FRST		SF	07				V				ZWARTFONTEINFORESTRESERVE	Zwartfontein Forest Reserve	Zwartfontein Forest Reserve	ZWARTFONTEINFORESTRESERVE	Zwartfontein Forest Reserve	Zwartfontein Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1288748	-1869431	-25.216667	30.966667	25:13:00S	30:58:00E	36JTT9515109512	SG36-05	V	FRST		SF	07				N				SWARTFONTEINSTAATSBOS	Swartfontein Staatsbos	Swartfontein Staatsbos	SWARTFONTEINSTAATSBOS	Swartfontein Staatsbos	Swartfontein Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1280490	-1859651	-26.9	32.4	26:54:00S	32:24:00E	36JVR4041824499	SG36-10	V	FRST		SF	02				D				SALENEFOREST	Salene Forest	Salene Forest	SALENEFOREST	Salene Forest	Salene Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1257251	-1832307	-24.083333	30.233333	24:05:00S	30:14:00E	36JTU1870733774	SG36-01	V	FRST		SF	09				D				MARAKEFORESTRESERVE	Marake Forest Reserve	Marake Forest Reserve	MARAKEFORESTRESERVE	Marake Forest Reserve	Marake Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1283341	-1863145	-27.116667	32.6	27:07:00S	32:36:00E	36JVR6035500580	SG36-14	V	SCRB		SF	02				D				SILESABUSH	Silesa Bush	Silesa Bush	SILESABUSH	Silesa Bush	Silesa Bush		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1256702	-1831629	-27.183333	32.616667	27:11:00S	32:37:00E	36JVQ6202993201	SG36-14	V	SCRB		SF	02				D				MANDEBUSH	Mande Bush	Mande Bush	MANDEBUSH	Mande Bush	Mande Bush		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1267587	-1844731	-31.783333	27.516667	31:47:00S	27:31:00E	35JNE4891783464	SH35-15	V	FRST		SF	05				N				NQUQU	Nququ	Nququ	NQUQU	Nququ	Nququ		2004-04-27	1,2,3,4,5	1			1993-09-01		
